iter	Passed	Remaining
456	825	980
457	833	985
458	838	987
459	855	1004
460	862	1008
461	863	1005
462	864	1003
463	866	1001
464	868	998
465	870	997
466	874	997
467	877	997
468	879	995
469	880	993
470	881	990
471	883	987
472	884	985
473	885	982
474	886	979
475	889	979
476	891	977
477	892	975
478	894	972
479	895	970
480	896	967
481	897	965
482	899	962
483	900	960
484	902	958
485	904	956
486	905	953
487	906	951
488	907	948
489	908	945
490	909	943
491	911	940
492	912	938
493	913	935
494	914	933
495	915	930
496	916	927
497	919	926
498	920	924
499	922	922
500	923	920
501	924	917
502	926	914
503	927	912
504	928	910
505	929	907
506	930	905
507	931	902
508	934	901
509	936	899
510	937	897
511	938	894
512	939	891
513	940	888
514	941	886
515	942	884
516	943	881
517	944	878
518	945	876
519	946	873
520	949	873
521	950	870
522	952	868
523	953	865
524	954	863
525	956	861
526	957	858
527	958	856
528	959	853
529	960	851
530	961	848
531	964	848
532	965	846
533	967	843
534	968	841
535	974	843
536	975	841
537	977	838
538	979	837
539	980	835
540	982	833
541	983	831
542	985	829
543	987	827
544	988	825
545	990	823
546	992	821
547	995	821
548	997	819
549	998	817
550	1000	814
551	1001	813
552	1004	811
553	1013	816
554	1015	814
555	1017	812
556	1018	810
557	1020	808
558	1021	805
559	1022	803
560	1026	803
561	1028	801
562	1031	800
563	1032	798
564	1034	796
565	1035	794
566	1037	792
567	1040	791
568	1043	790
569	1044	788
570	1046	785
571	1047	783
572	1048	781
573	1050	779
574	1052	777
575	1057	778
576	1059	776
577	1062	776
578	1064	773
579	1066	772
580	1073	774
581	1076	773
582	1078	771
583	1080	769
584	1083	768
585	1087	768
586	1090	767
587	1092	765
588	1094	763
589	1098	763
590	1103	763
591	1104	761
592	1106	759
593	1109	758
594	1110	756
595	1112	754
596	1113	751
597	1116	750
598	1118	748
599	1119	746
600	1120	744
601	1122	741
602	1123	739
603	1124	737
604	1126	735
605	1128	733
606	1131	732
607	1134	731
608	1135	729
609	1137	727
610	1138	725
611	1141	723
612	1144	722
613	1146	721
614	1148	718
615	1149	716
616	1150	714
617	1151	711
618	1152	709
619	1153	707
620	1154	704
621	1155	702
622	1157	700
623	1158	698
624	1159	695
625	1161	693
626	1162	691
627	1163	689
628	1164	687
629	1165	684
630	1166	682
631	1167	679
632	1168	677
633	1169	675
634	1170	672
635	1171	670
636	1173	668
637	1174	666
638	1177	665
639	1178	662
640	1179	660
641	1180	658
642	1181	656
643	1183	654
644	1184	651
645	1185	649
646	1186	647
647	1187	645
648	1188	643
649	1192	641
650	1193	639
651	1194	637
652	1195	635
653	1196	633
654	1197	630
655	1199	628
656	1200	626
657	1201	624
658	1202	622
659	1203	619
660	1205	618
661	1207	616
662	1208	614
663	1209	611
664	1210	609
665	1211	607
666	1212	605
667	1213	603
668	1214	601
669	1216	598
670	1217	596
671	1218	594
672	1220	593
673	1222	591
674	1223	588
675	1224	586
676	1225	584
677	1226	582
678	1227	580
679	1228	578
680	1229	575
681	1230	573
682	1231	571
683	1233	569
684	1235	568
685	1236	566
